  PID COMMAND         S  PPID  PGRP  SESS TT
 1946 gnome-keyring-d S     1  1945  1945 ?
 1948 init            S  1766  1948  1948 ?
 2096 dbus-daemon     S  1948  2096  2096 ?
 2105 upstart-event-b S  1948  2105  2105 ?
 2128 upstart-dbus-br S  1948  2126  2126 ?
 2134 upstart-dbus-br S  1948  2133  2133 ?
 2137 upstart-file-br S  1948  2136  2136 ?
 2204 sh              S  1948  2204  2204 ?
 2215 xfce4-session   S  2204  2204  2204 ?
 2223 xfconfd         S  1948  2096  2096 ?
 2228 xfwm4           S  1948  2204  2204 ?
 2232 xfce4-panel     S  1948  2204  2204 ?
 2234 Thunar          S  1948  2204  2204 ?
 2236 xfdesktop       S  1948  2204  2204 ?
 2238 light-locker    S  1948  2204  2204 ?
 2244 indicator-appli S  1948  2204  2204 ?
 2250 nm-applet       S  1948  2204  2204 ?
 2255 indicator-power S  1948  2204  2204 ?
 2257 zeitgeist-datah S  1948  2204  2204 ?
 2263 update-notifier S  1948  2204  2204 ?
 2266 polkit-gnome-au S  1948  2204  2204 ?
 2268 at-spi-bus-laun S  1948  2096  2096 ?
 2271 applet.py       S  1948  2204  2204 ?
 2275 xfce4-power-man S  1948  2275  2275 ?
 2276 dbus-daemon     S  2268  2096  2096 ?
 2277 xfce4-volumed   S  1948  2277  2277 ?
 2281 blueman-applet  S  1948  2204  2204 ?
 2283 pulseaudio      S  1948  2282  2282 ?
 2285 at-spi2-registr S  1948  2096  2096 ?
 2293 gvfsd           S  1948  2096  2096 ?
 2298 gvfsd-fuse      S  1948  2096  2096 ?
 2316 xfsettingsd     S  1948  2316  2316 ?
 2326 zeitgeist-daemo S  1948  2096  2096 ?
 2329 gconfd-2        S  1948  2096  2096 ?
 2332 panel-1-whisker S  2232  2204  2204 ?
 2340 zeitgeist-fts   S  1948  2096  2096 ?
 2349 panel-5-indicat S  2232  2204  2204 ?
 2350 panel-4-systray S  2232  2204  2204 ?
 2359 init            S  1948  2204  2204 ?
 2361 indicator-messa S  2359  2361  2361 ?
 2366 indicator-sound S  2359  2366  2366 ?
 2476 cat             S  2340  2096  2096 ?
 2478 gvfs-udisks2-vo S  1948  2096  2096 ?
 2491 obex-data-serve S  1948  2096  2096 ?
 2495 gvfs-mtp-volume S  1948  2096  2096 ?
 2499 gvfs-gphoto2-vo S  1948  2096  2096 ?
 2503 gvfs-afc-volume S  1948  2096  2096 ?
 2513 gvfsd-trash     S  1948  2096  2096 ?
 2549 update-manager  S  1948  2204  2204 ?
 2553 dconf-service   S  1948  2096  2096 ?
 2580 firefox         S  1948  2204  2204 ?
 2604 eclipse         S  1948  2204  2204 ?
 2615 java            S  2604  2204  2204 ?
 2752 skype           S  1948  2204  2204 ?
 3952 xfce4-terminal  S  1948  2316  2316 ?
 3956 gnome-pty-helpe S  3952  2316  2316 ?
 4040 gvfsd-metadata  S  1948  2096  2096 ?
 5294 evince          S  1948  2204  2204 ?
 5302 evinced         S  1948  2096  2096 ?
 5587 findProcesses   S  2615  5587  2204 ?
 5589 sh              S  5587  5587  2204 ?
 5592 ps              R  5589  5587  2204 ?
